Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.00E+12,1,1,2,2,0,0,0,0,0,17,8,318,4,165,0,0,0,0,0,60,27,11,37,5.5,24,1,0,1,0,4,15,1,1598,9,80,17,6,2,1,3,1,1
47,5.00E+12,4,3,2,2,0,0,0,0,0,23,6,282,6,359,0,0,0,0,0,52,29,9,25,2.5,13,3,0,2,0,9,5,3,2002,6,53,17,6,1,1,4,1,3
5,5.01E+12,1,1,3,3,0,0,0,0,0,24,7,282,5,269,1,0,0,1,0,43,38,11,28,3,14,1,1,3,0,9,9,2,1927,8,84,16,7,1,1,4,3,1
71,5.01E+12,0,0,2,2,0,0,0,0,0,14,5,202,3,154,0,1,0,2,1,24,68,7,17,1,6,3,0,4,0,13,8,1,1673,8,69,11,2,3,1,4,2,0
5,5.01E+12,4,2,1,1,0,0,0,0,0,13,8,327,4,164,1,0,0,1,1,37,30,10,57,5,45,0,1,4,0,4,5,0,1657,9,89,18,3,3,1,5,1,2
86,5.01E+12,1,0,1,1,0,0,0,0,0,7,11,350,2,125,1,0,0,3,1,29,36,9,39,3,23,10,0,3,0,6,3,1,1943,7,49,16,3,1,0,2,1,0
5,5.04E+12,1,1,3,2,0,0,0,0,0,23,5,185,5,325,4,0,0,5,4,30,52,7,18,1,9,3,1,4,1,7,11,3,1711,10,108,17,5,2,1,5,3,1
414,5.04E+12,3,1,7,6,0,0,0,0,0,51,4,169,8,431,4,0,0,1,1,31,40,6,20,3,13,6,4,6,0,11,13,2,1889,9,95,12,5,0,0,7,6,1
5,5.04E+12,1,1,2,2,0,0,0,0,0,17,4,126,4,260,2,0,0,0,0,39,14,6,22,3,15,0,2,2,0,6,16,4,2154,8,49,14,7,2,0,5,2,0
419,5.04E+12,0,0,1,1,0,0,0,0,0,7,9,355,2,103,0,0,0,2,1,48,26,10,22,1,3,0,0,3,0,3,6,0,1446,10,100,19,8,1,0,0,0,0
5,5.05E+12,2,1,4,4,0,0,0,0,0,31,5,190,6,373,0,0,0,1,1,42,38,8,29,2,17,0,0,4,1,7,20,0,1616,8,70,14,6,1,1,3,3,0
503,5.05E+12,4,3,3,3,0,0,0,0,0,30,5,233,7,440,4,0,0,0,0,39,46,5,24,2,16,0,1,5,0,12,5,2,1984,3,10,15,6,0,0,4,3,1
5,5.06E+12,1,1,3,3,0,0,0,0,0,24,7,260,5,228,0,0,0,4,2,59,18,2,4,0,0,0,1,2,0,4,12,1,1433,5,42,13,2,3,0,2,1,1
559,5.06E+12,0,0,7,7,0,0,0,0,0,49,6,206,8,488,3,0,0,5,1,33,24,4,14,3,12,0,1,4,1,12,12,1,2167,10,79,18,11,1,0,5,4,0
8,8.00E+12,1,1,1,1,1,1,0,0,0,18,10,378,4,206,1,0,0,2,0,31,34,9,15,1,3,3,2,2,0,4,7,0,1942,12,65,16,4,1,0,4,2,1
37,8.00E+12,1,0,4,4,0,0,0,0,0,28,7,317,5,324,3,0,0,2,1,30,38,12,83,11,81,4,0,7,0,6,6,1,1658,2,16,11,3,0,0,3,3,0
8,8.04E+12,2,1,2,2,0,0,0,0,0,17,5,187,4,254,2,0,0,2,1,34,6,6,25,2,18,0,1,4,1,11,6,2,2161,7,66,15,4,1,0,4,0,1
430,8.04E+12,0,0,0,0,0,0,0,0,0,0,7,306,1,65,0,0,0,1,1,58,8,9,28,3,13,0,1,1,0,2,4,2,1432,7,81,14,4,2,0,1,0,0
8,8.04E+12,3,2,1,1,0,0,0,0,0,13,6,220,3,186,2,0,0,2,2,37,20,7,19,0,0,0,1,0,0,6,11,0,1633,6,40,16,7,1,0,2,0,1
433,8.04E+12,3,1,1,1,0,0,0,0,0,10,7,297,3,195,2,0,0,1,1,40,22,6,22,2,13,1,2,7,0,2,11,1,1967,5,26,18,7,0,0,3,0,1
8,8.06E+12,3,3,4,4,0,0,0,0,0,37,3,117,8,482,3,1,0,1,0,31,16,4,21,2,19,3,3,8,0,18,5,0,2227,2,20,17,10,1,1,3,1,2
648,8.06E+12,0,0,2,2,0,0,0,0,0,14,6,254,2,130,2,0,1,5,1,47,24,11,21,1,2,1,0,1,0,5,7,2,1373,4,25,12,4,2,1,2,2,0
9,9.02E+12,3,3,2,2,0,0,0,0,0,23,4,178,6,356,0,0,0,0,0,55,22,8,26,1,11,3,0,4,0,8,12,2,1822,3,30,16,7,1,0,4,2,2
196,9.02E+12,1,1,4,4,0,0,0,0,0,31,7,307,6,375,3,0,0,0,0,51,14,2,12,1,10,0,0,5,0,13,11,1,1778,4,35,16,7,0,0,3,2,1
