Team Code,Game Code,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal
5,5.01E+12,2,2,2,2,0,0,0,0,0,20,1,37,4,241,0,0,1,2,2,45,38,6,17,1,2,2,1,4,0,15,8,2,1711,8,61,16,8,2,0,6,1,2
71,5.01E+12,4,3,5,5,0,0,0,0,0,44,1,39,9,427,0,0,0,1,0,41,52,2,7,1,4,8,2,5,0,10,15,3,1889,7,64,12,6,0,0,5,2,3
5,5.01E+12,2,1,1,1,0,0,1,0,0,10,4,156,2,69,0,0,0,3,1,43,24,8,29,3,15,0,0,0,0,10,10,1,1660,3,13,17,7,4,0,5,1,1
86,5.01E+12,2,2,3,2,0,0,0,0,0,26,6,221,6,368,2,0,0,2,0,41,36,8,25,2,8,6,1,3,0,10,8,0,1940,4,24,13,3,2,1,5,3,2
5,5.02E+12,1,1,1,1,0,0,0,0,0,10,8,324,3,200,0,0,0,0,0,27,60,2,7,0,0,0,0,1,0,7,5,3,1780,7,50,18,7,1,0,4,1,1
164,5.02E+12,1,1,6,5,0,0,0,0,0,44,5,236,8,473,2,0,0,0,0,37,56,8,29,4,21,0,0,2,0,12,12,1,1820,11,82,12,5,0,0,4,4,0
5,5.03E+12,1,1,3,3,0,0,0,0,0,24,5,158,5,267,0,1,0,3,1,56,24,11,44,0,0,0,1,0,0,9,11,4,1742,6,60,13,6,1,0,2,1,1
306,5.03E+12,2,2,5,5,0,0,0,0,0,41,3,103,8,520,2,0,0,1,0,47,26,9,49,4,39,0,1,2,0,16,6,3,1837,5,63,15,9,1,1,7,4,2
5,5.04E+12,0,0,0,0,0,0,0,0,0,0,10,386,1,67,0,0,0,1,1,49,12,4,7,0,0,1,1,5,0,7,7,0,1775,8,46,16,3,2,1,1,0,0
414,5.04E+12,0,0,1,1,0,0,0,0,0,7,8,340,2,133,0,0,0,3,1,38,26,13,48,2,18,2,1,7,0,7,11,1,1825,1,10,15,6,1,0,2,0,0
5,5.05E+12,0,0,0,0,0,0,0,0,1,2,14,575,1,68,0,0,0,2,1,47,28,6,16,1,7,0,3,3,0,0,3,0,1597,5,40,16,2,0,0,0,0,0
518,5.05E+12,2,2,2,2,0,0,0,0,0,20,4,185,6,395,2,0,0,3,3,27,26,10,39,3,22,0,1,5,0,8,9,1,2003,5,36,16,7,1,1,4,2,2
5,5.08E+12,2,1,4,4,0,0,0,0,1,39,2,96,6,342,0,1,0,5,2,53,36,7,48,2,21,0,2,7,0,8,14,0,1587,8,68,16,9,2,0,4,1,1
774,5.08E+12,1,1,5,5,0,0,0,0,0,38,3,124,8,442,0,0,0,2,2,38,36,4,35,2,29,0,4,9,0,8,18,1,2013,8,60,15,7,3,0,7,4,1
8,8.00E+12,2,1,1,1,0,0,0,0,0,10,6,218,3,125,0,0,0,2,0,37,26,4,22,2,18,9,0,3,0,8,5,2,1731,6,38,15,3,2,2,2,1,0
37,8.00E+12,2,1,2,2,0,0,0,0,0,17,4,136,4,258,0,0,0,0,0,35,32,2,19,2,19,9,1,3,0,11,4,2,1869,3,35,13,3,2,2,3,2,0
8,8.02E+12,3,3,3,3,0,0,0,0,0,30,4,180,7,435,0,1,0,2,1,38,30,8,29,1,8,3,0,4,1,9,13,0,1779,4,21,14,7,0,0,3,1,2
157,8.02E+12,2,1,3,3,0,0,0,0,0,24,4,127,5,273,0,0,0,1,0,40,30,5,16,1,8,4,1,3,0,3,16,0,1821,4,30,16,9,1,0,2,2,0
8,8.02E+12,0,0,2,2,0,0,0,0,0,14,10,369,2,112,0,0,1,2,1,35,30,6,13,1,6,0,0,2,0,9,10,0,1738,4,20,20,6,3,2,2,2,0
234,8.02E+12,1,0,3,3,0,0,0,0,0,21,8,301,4,280,3,0,0,0,0,36,29,6,22,3,16,0,2,4,0,9,6,0,1862,9,54,16,6,1,1,3,2,0
8,8.04E+12,4,4,0,0,0,0,0,0,0,12,4,179,5,299,0,0,0,1,0,45,17,8.5,30,2,20,2,0,2,0,12,7,4,1769,1,5,14,4,0,0,2,0,1
430,8.04E+12,1,1,2,2,0,0,0,0,0,17,7,255,4,230,1,0,0,1,0,35,34,7,24,1,10,7,1,5,0,9,5,0,1831,8,75,16,7,0,0,2,1,1
8,8.04E+12,3,2,3,3,0,0,0,0,0,27,3,86,6,393,1,0,0,2,1,42,26,7,27,4,21,0,1,5,0,10,15,2,1801,3,19,16,9,1,0,8,3,2
433,8.04E+12,2,1,3,3,0,0,0,0,0,24,3,150,5,269,0,0,0,0,0,46,40,10,42,4,24,5,2,3,1,5,14,0,1799,6,47,12,4,3,2,5,3,1
8,8.07E+12,5,3,1,1,1,1,0,0,0,24,5,208,5,269,0,0,0,2,0,49,11,4,22,2,18,9,2,4,0,12,8,2,2027,6,40,15,6,0,0,5,2,3
736,8.07E+12,1,1,1,1,0,0,0,0,0,10,8,257,3,190,0,0,0,3,0,60,24,5,17,1,5,7,0,5,0,5,8,0,1573,5,50,18,6,3,1,2,1,1
9,9.02E+12,3,2,0,0,0,0,0,0,0,6,6,224,3,200,0,0,0,1,0,37,44,6,10,0,0,4,0,2,0,8,9,2,1775,6,66,16,3,2,1,1,0,0
196,9.02E+12,3,2,5,5,0,0,0,0,0,41,4,164,8,501,1,0,0,0,0,36,40,11,23,2,7,10,0,4,0,11,8,3,1825,11,95,11,3,0,0,6,3,2
9,9.02E+12,2,1,3,3,0,0,0,0,0,24,7,302,5,350,2,0,0,2,2,52,41,6,13,0,0,0,2,3,0,5,8,6,1536,12,110,14,4,0,0,4,2,1
234,9.02E+12,2,2,4,4,0,0,0,0,0,34,3,139,7,474,2,0,0,2,2,36,18,2,12,1,10,0,2,5,0,8,13,3,2056,12,131,14,6,1,0,6,3,1
9,9.04E+12,2,1,4,4,1,1,0,0,0,39,2,69,7,456,2,0,0,0,0,32,52,3,7,1,3,2,0,3,0,6,16,2,1478,6,62,15,10,1,0,7,4,1
388,9.04E+12,2,1,5,5,1,1,0,0,0,46,2,72,8,467,0,1,0,0,0,29,50,2,19,0,0,8,0,7,0,10,16,1,2122,8,71,9,5,0,0,5,4,1
9,9.04E+12,1,1,1,0,0,0,0,0,0,9,5,212,3,207,1,0,0,2,0,48,14,1,8,0,0,1,0,4,0,5,13,5,1754,4,39,14,7,1,1,3,1,1
404,9.04E+12,4,4,1,1,1,0,0,0,0,25,3,116,7,449,0,0,0,0,0,49,18,3,8,0,0,1,2,3,1,15,7,3,1846,8,90,12,4,0,0,5,2,3
9,9.04E+12,3,3,1,1,0,0,0,0,1,18,8,291,4,273,1,1,0,0,0,54,31,9,20,1,1,0,1,3,0,3,13,1,1807,5,20,20,8,0,0,2,1,1
416,9.04E+12,2,2,7,7,0,0,0,0,0,55,3,97,10,603,0,0,0,2,0,50,30,10,55,4,43,3,0,4,0,15,13,0,1793,4,35,13,8,0,0,6,5,1
9,9.04E+12,3,2,1,1,0,0,0,0,0,13,6,284,4,248,1,1,0,2,0,38,28,5,15,1,6,0,0,0,0,0,10,1,1677,10,70,16,6,1,0,2,0,1
430,9.04E+12,1,1,4,3,0,0,0,0,0,30,4,168,6,397,0,0,0,0,0,22,46,5,14,0,0,7,0,6,1,10,6,0,1923,1,15,15,8,1,1,3,3,0
9,9.07E+12,3,3,3,3,0,0,0,0,0,30,6,245,7,490,3,0,0,2,1,49,30,6,27,2,11,3,1,7,0,7,11,2,1988,8,59,19,6,4,3,5,2,2
719,9.07E+12,2,1,5,5,0,0,0,0,0,38,3,122,7,396,0,0,0,2,1,45,36,9,34,2,19,3,1,6,0,17,15,2,1612,4,36,12,5,2,0,5,2,1
9,1.70E+13,5,5,1,1,0,0,0,0,0,22,3,109,7,436,0,0,0,1,0,25,46,9,39,3,23,0,0,2,0,9,5,2,2005,7,65,16,6,1,1,4,1,3
17,1.70E+13,0,0,0,0,0,0,0,0,0,0,6,218,1,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1595,4,50,13,3,2,0,1,0,0
418,2.70E+13,4,2,2,2,2,0,0,0,0,32,3,146,7,450,0,0,0,2,1,51,20,9,27,4,16,0,1,1,0,11,11,1,1728,7,56,15,7,2,0,5,3,1
27,2.70E+13,3,2,4,4,0,0,0,0,0,34,4,132,7,437,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10,8,1,1872,7,45,13,7,0,0,5,3,2
28,2.80E+13,1,1,3,3,0,0,0,0,0,24,10,395,4,258,0,0,0,2,2,41,8,7,23,2,10,0,1,6,0,8,9,3,1983,5,41,18,6,0,0,3,2,0
110,2.80E+13,2,2,2,2,0,0,0,0,0,20,9,350,5,285,0,0,0,4,1,51,20,10,58,6,47,0,2,5,0,6,7,1,1617,5,49,15,3,1,1,3,1,2
28,2.81E+13,4,3,2,2,0,0,0,0,0,23,5,208,6,384,1,0,0,1,1,29,43,4,7,0,0,0,0,4,0,10,13,2,2090,4,45,13,2,2,1,5,1,2
529,2.81E+13,0,0,5,5,0,0,0,0,0,35,8,337,6,387,0,1,0,1,1,56,29,18,57,9,49,3,0,4,0,12,9,1,1510,8,70,14,5,0,0,2,2,0
28,2.81E+13,4,4,3,3,1,1,0,0,0,41,4,127,9,589,2,0,0,0,0,35,32,11,52,7,44,2,2,3,0,9,9,0,2066,6,49,16,6,1,1,3,1,2
674,2.81E+13,3,1,0,0,0,0,0,0,0,3,7,278,1,49,0,0,0,4,2,46,24,10,51,6,40,2,0,0,0,3,8,2,1534,4,38,14,2,1,0,1,0,1
28,2.81E+13,2,2,4,4,0,0,0,0,0,34,5,182,7,335,0,0,0,5,2,56,26,11,49,2,25,0,2,3,0,6,14,3,1421,6,50,14,5,3,2,4,3,1
703,2.81E+13,1,1,7,7,0,0,0,0,0,52,6,219,9,503,0,0,0,4,1,46,18,8,49,4,41,0,3,5,0,15,10,2,2179,9,74,19,8,2,1,5,4,1
28,2.81E+13,1,1,3,2,0,0,0,0,0,23,6,249,5,352,4,0,0,0,0,29,38,3,18,2,16,5,1,6,0,7,12,2,2121,6,75,14,6,1,1,3,2,1
754,2.81E+13,3,2,2,2,0,0,1,0,0,20,6,253,5,258,0,0,0,1,0,41,52,14,70,7,56,3,0,4,1,5,13,3,1479,11,90,18,7,1,0,2,1,1
28,2.90E+13,2,2,2,2,0,0,0,0,0,20,8,299,5,308,0,0,0,2,1,36,24,5,38,4,37,0,2,7,1,7,10,1,2061,5,27,19,7,0,0,4,2,2
29,2.90E+13,2,1,2,2,0,0,0,0,0,17,6,278,3,198,1,0,1,2,1,52,10,6,16,2,9,0,1,7,0,3,13,1,1539,8,65,15,6,1,0,5,2,1
29,2.90E+13,0,0,1,1,0,0,0,0,0,7,8,369,2,82,1,0,0,0,0,36,40,3,8,1,6,0,1,5,0,0,8,3,1582,7,56,14,4,2,0,2,1,0
77,2.90E+13,1,0,3,2,0,0,0,0,0,20,5,193,4,264,0,0,0,1,1,34,32,4,26,2,19,1,0,3,0,6,15,1,2018,5,27,15,7,1,0,4,2,0
29,2.90E+13,2,2,3,3,0,0,0,0,0,27,3,114,6,392,0,0,0,2,2,29,50,2,3,0,0,2,0,5,0,6,13,3,1990,8,73,17,5,3,1,7,3,2
107,2.90E+13,2,1,6,6,0,0,0,0,0,45,3,136,8,471,0,0,0,1,1,34,64,5,29,3,25,4,2,4,0,11,10,1,1610,14,121,11,6,0,0,6,5,0
29,2.91E+13,3,3,1,1,0,0,0,0,0,16,5,217,5,281,0,0,0,3,0,63,10,5,18,1,8,0,0,4,0,5,8,2,1553,3,35,16,3,4,1,2,0,2
528,2.91E+13,2,1,4,4,0,0,0,0,0,31,6,197,6,350,0,0,0,0,0,49,8,10,72,7,67,0,1,5,0,10,8,1,1862,6,65,16,8,0,0,4,3,1
29,2.91E+13,2,2,1,1,0,0,0,0,0,13,7,336,4,258,0,0,0,5,3,49,30,13,43,3,14,0,0,1,0,1,11,1,1614,8,55,14,3,1,0,2,1,1
657,2.91E+13,2,2,2,2,0,0,0,0,0,20,7,256,5,320,1,0,0,1,0,36,30,3,13,1,5,0,4,5,0,9,8,2,1986,5,35,17,7,1,1,3,1,2
29,2.91E+13,2,2,5,4,1,1,0,0,0,48,3,140,9,526,2,0,0,2,1,59,12,3,7,1,3,0,2,6,0,3,19,0,1790,4,20,15,7,3,1,3,2,1
756,2.91E+13,0,0,6,5,0,0,0,0,0,41,3,126,7,437,0,0,0,3,3,49,26,8,32,3,19,0,1,5,0,15,10,0,1810,5,40,14,10,0,0,4,4,0
30,3.00E+13,1,1,4,4,0,0,0,0,0,31,5,220,6,359,0,0,0,0,0,45,34,8,26,1,11,0,1,3,1,7,6,1,1808,6,40,14,4,4,1,5,4,1
229,3.00E+13,2,2,2,2,2,1,0,0,0,34,4,141,7,424,0,0,0,2,1,33,46,5,15,1,4,0,0,3,0,6,12,1,1792,5,56,19,9,1,0,4,3,1
30,3.00E+13,0,0,1,1,0,0,0,0,0,7,5,216,2,119,0,0,0,1,1,56,6,7,30,1,10,0,1,2,0,2,5,1,1465,4,50,13,3,3,1,2,1,0
419,3.00E+13,3,1,3,3,0,0,0,0,0,24,4,152,5,296,0,0,0,2,0,44,6,12,60,9,57,0,1,1,0,13,6,3,2135,6,50,17,6,3,3,4,1,0
30,3.00E+13,4,2,1,1,0,0,0,0,0,13,3,138,4,247,0,0,0,1,1,63,32,4,21,1,12,1,1,3,0,10,6,0,1516,11,90,13,2,1,1,3,0,2
498,3.00E+13,3,3,3,3,0,0,0,0,0,30,4,162,7,455,0,0,0,3,0,44,17,6,10,1,3,3,0,7,0,15,7,1,2084,2,10,16,6,2,1,6,3,3
30,3.01E+13,2,1,1,1,0,0,0,0,0,10,3,91,3,176,0,0,0,3,1,59,10,9,31,3,16,0,1,1,0,12,6,1,1629,6,60,12,5,2,1,4,1,1
664,3.01E+13,3,3,1,1,0,0,0,0,0,16,2,70,5,328,0,0,0,1,1,53,14,5,17,1,10,0,1,3,1,10,6,3,1971,4,23,16,6,2,1,4,1,3
30,3.01E+13,2,2,3,3,0,0,0,0,0,27,5,217,5,299,0,1,0,1,1,45,42,2,6,0,0,0,2,5,0,8,8,1,1661,6,46,14,6,0,0,3,2,1
694,3.01E+13,2,2,6,6,0,0,0,0,0,48,4,187,9,570,0,0,0,3,0,41,31,7,22,4,17,4,1,6,0,10,17,3,1939,3,25,13,5,0,0,6,4,2
30,3.01E+13,4,2,1,1,0,0,0,0,0,13,3,106,3,181,0,0,1,0,0,43,28,4,22,1,10,2,0,3,0,10,11,5,1812,10,65,12,3,1,0,6,1,1
703,3.01E+13,0,0,3,3,0,0,0,0,0,21,4,145,4,273,0,0,0,1,0,46,28,9,47,4,30,4,0,4,0,9,12,2,1788,10,90,15,9,2,1,3,2,0
8,3.10E+13,3,2,5,5,0,0,0,0,0,41,5,181,8,448,1,1,0,2,1,44,42,7,10,0,0,0,1,4,0,6,14,4,1773,7,63,16,7,0,0,6,4,1
31,3.10E+13,1,1,5,5,0,0,0,0,0,38,7,313,7,355,0,0,0,2,2,41,38,8,31,2,20,3,0,3,0,16,5,1,1827,7,81,16,7,0,0,5,4,1
31,3.10E+13,0,0,6,6,1,1,0,0,0,50,7,255,5,296,0,0,0,3,1,38,62,4,15,1,7,1,3,12,0,13,7,1,1713,9,62,18,9,2,1,4,4,0
365,3.10E+13,2,2,4,4,2,1,0,0,0,48,8,339,6,350,0,0,0,3,0,40,53,3,6,0,0,3,3,4,0,12,11,2,1887,4,35,23,11,2,2,7,6,1
31,3.10E+13,2,1,6,5,0,0,0,0,0,44,2,74,8,534,0,0,0,1,0,43,30,9,50,6,44,2,0,5,0,14,8,1,1782,5,55,15,10,1,0,6,4,1
433,3.10E+13,1,0,0,0,1,1,0,0,0,8,4,141,2,56,0,0,0,0,0,46,32,5,12,1,6,2,0,1,0,9,8,3,1818,6,45,14,5,3,1,1,0,0
31,3.11E+13,2,2,1,1,0,0,0,0,0,13,5,199,4,235,1,0,0,2,0,30,55,5,14,0,0,1,0,4,0,7,8,0,1600,12,61,12,2,3,1,4,1,2
694,3.11E+13,3,2,4,4,0,0,0,0,0,34,5,201,7,345,0,0,0,1,0,34,40,5,24,2,18,1,0,2,1,7,6,5,2000,3,25,16,7,1,1,4,2,2
